acc,accm,amloc,anpm,cbo,dit,lcom4,loc,noa,noc,nom,npa,npm,rfc,sc, good_design
0,1.3333333333,3,0.6666666667,3,1,6,18,1,0,6,0,3,10,18,1
0,2.5555555556,10,0.6666666667,6,1,5,90,4,0,9,0,6,32,30,1
0,1,1.8333333333,0.5,0,1,6,11,1,0,6,1,3,8,0,1
4,10.6666666667,81,3,2,0,3,243,0,0,3,0,3,32,6,1
0,1,7,5.5,0,0,2,14,9,0,2,9,2,2,0,1
0,1,7,5,0,0,1,7,5,0,1,5,1,1,0,1
2,1,4.4,1,2,0,5,22,0,0,5,0,5,11,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,3.1578947368,17.1052631579,0.7894736842,12,0,5,325,2,1,19,0,14,90,60,1
0,4.7142857143,27.3571428571,1.5714285714,25,1,10,766,10,0,28,1,16,181,250,0
1,1,1,0.4,0,0,5,5,0,1,5,0,2,5,0,1
0,1,2.6,1,0,1,4,13,3,0,5,0,3,9,0,1
0,1.4285714286,4,0.8571428571,2,0,7,28,3,0,7,0,4,12,14,1
1,1,1.1428571429,0.8571428571,0,1,7,8,1,0,7,0,7,7,0,1
0,1.25,7.25,2.25,1,0,4,29,0,0,4,0,4,7,4,1
9,2.5,16,1.3333333333,8,1,6,288,1,1,18,0,7,67,48,1
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
36,4.1636363636,24.6363636364,1.8,30,2,42,1355,5,0,55,3,46,190,1260,0
239,2.9921875,14.9765625,0.5625,40,3,34,1917,11,1,128,2,108,526,1360,0
0,3,14,1.4545454545,6,0,7,154,7,0,11,2,3,35,42,1
0,4.3333333333,15.6666666667,1,6,0,2,47,4,0,3,0,3,17,12,1
217,1.48,6.84,0.4,6,1,10,171,5,1,25,0,20,59,60,1
1,1,2,1,0,0,1,2,4,0,1,4,1,1,0,1
5,2.8333333333,14,1,3,0,1,84,4,0,6,0,3,27,3,1
0,2.8620689655,16.6896551724,1.9310344828,19,0,14,484,0,0,29,0,29,98,266,1
2,1.1842105263,6.8157894737,1.0789473684,7,5,37,259,1,1,38,0,36,58,259,1
6,4,22,1,7,0,2,44,10,0,2,10,2,12,14,1
1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
5,0,0,0,0,0,0,0,10,0,0,10,0,0,0,1
17,1,4.6666666667,1.6666666667,0,5,3,14,0,14,3,0,2,3,0,1
7,2.1666666667,10.75,0.8333333333,3,5,3,129,3,2,12,0,10,46,9,1
0,1,2,1,0,5,3,6,1,0,3,0,3,3,0,1
1,2.6666666667,23.25,0.8333333333,11,0,4,279,5,0,12,0,8,62,44,1
0,2.5714285714,17.3714285714,2.0571428571,21,0,26,608,0,0,35,0,35,150,546,1
0,1,1.6666666667,0.3333333333,0,0,3,5,1,0,3,0,3,6,0,1
54,3.1764705882,17.6823529412,1.0117647059,29,7,15,1503,23,1,85,7,56,428,435,0
2,1,1.25,1,0,0,4,5,2,0,4,2,1,4,0,1
0,2,12.6666666667,2,2,0,1,38,2,0,3,1,3,12,2,1
6,6.1333333333,35.0666666667,0.7333333333,14,9,10,526,3,2,15,2,10,94,140,0
5,1,3.3333333333,1,1,6,4,20,1,1,6,1,5,11,4,1
0,4.75,26.3333333333,2,9,0,1,316,2,0,12,0,4,75,9,1
1,1,2,2,0,0,1,2,2,0,1,2,1,1,0,1
15,1.3846153846,4.5384615385,0.7692307692,3,0,5,59,2,0,13,1,12,32,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,47,0,0,47,0,0,0,1
0,1.125,5.5625,1.1875,7,0,8,89,2,0,16,0,12,45,56,1
0,6.5,44,3,4,0,3,176,4,0,4,0,3,20,12,1
2,1,1,1.5,0,0,2,2,0,1,2,0,2,2,0,1
0,1,7.4,1.6,0,1,5,37,5,0,5,0,3,5,0,1
0,1.2,4.8,1.8,2,1,3,24,1,0,5,0,2,14,6,1
0,1.8,8.6,1.6,4,1,3,43,1,0,5,0,2,18,12,1
0,1.5,7,1.5,2,1,4,28,0,0,4,0,2,10,8,1
0,1.2,5.8,1.6,6,1,3,29,0,0,5,0,2,17,18,1
0,1.5,11.25,1.5,4,1,4,45,1,0,4,0,2,13,16,1
0,1.5,7.25,1.5,2,1,4,29,0,0,4,0,2,10,8,1
0,1.6,12.6,1.4,6,1,3,63,0,0,5,0,2,19,18,1
1,1.1111111111,3.3333333333,0.3333333333,1,0,3,30,3,0,9,0,9,24,3,1
0,2,12.75,1.5,2,1,4,51,0,0,4,0,2,15,8,1
0,3.8,19.2,1.4,5,1,3,96,0,0,5,0,2,19,15,1
0,3.3,20.7,2,8,0,6,207,5,0,10,0,1,44,48,1
0,2.5,20.5,3,2,0,2,41,0,0,2,0,2,6,4,1
1,3.8,19.2,1.5,9,5,10,192,0,1,10,0,3,30,90,1
1,5.3333333333,26.6666666667,1.3333333333,8,7,3,80,0,1,3,0,3,18,24,1
0,1,13,3,0,0,1,13,0,0,1,0,1,1,0,1
0,1.8,9,0.6,4,6,5,45,0,0,5,0,5,9,20,1
2,1.3333333333,5.3333333333,0.8333333333,1,6,6,32,0,2,6,0,6,8,6,1
0,1,11,2,0,0,1,11,0,0,1,0,1,1,0,1
0,1.6428571429,10,1,8,5,13,140,0,0,14,0,13,36,104,1
9,1,1.1111111111,1.0740740741,0,0,27,30,0,4,27,0,27,27,0,1
0,2,16,5,1,0,1,16,0,0,1,0,1,2,1,1
0,2,9.2857142857,0.7142857143,4,6,6,65,0,0,7,0,7,19,24,1
0,3.3333333333,26.3333333333,1.3333333333,4,7,3,79,0,0,3,0,3,11,12,1
0,2.1111111111,10,0.6666666667,7,7,9,90,0,0,9,0,9,28,63,1
0,2.7692307692,14.5384615385,0.6153846154,10,7,11,189,0,0,13,0,13,56,110,1
0,2,15,1,4,7,3,45,0,0,3,0,3,12,12,1
0,2,9.2,0.8,3,7,3,46,0,0,5,0,4,12,9,1
0,1.6666666667,6.6666666667,1,2,7,3,20,0,0,3,0,3,7,6,1
0,1.8333333333,9,0.8333333333,3,7,4,54,0,0,6,0,5,14,12,1
0,1.6666666667,7.6666666667,1,5,7,3,23,0,0,3,0,3,10,15,1
0,1,3,0.6666666667,0,6,3,9,0,0,3,0,3,3,0,1
2,2.5,13.5,0.9166666667,13,6,7,162,0,1,12,0,9,45,91,1
